release_id,artist,album,genre,style,year,original_year,reissue,edition,color,country,date_added,cover_path,cover_source
13510153,Ian Brown,Unfinished Monkey Business,"Electronic, Rock","Abstract, Lo-Fi, Indie Rock, Leftfield, Psychedelic Rock, Trip Hop, Acoustic",2019,1998,Reissue,,,UK & Europe,2026-06-08T11:55:41-07:00,covers/13510153.jpg,cached
8265130,Iggy Pop,Post Pop Depression,Rock,Garage Rock,2016,2016,,"Deluxe, Limited",,Europe,2026-05-22T14:07:22-07:00,covers/8265130.jpg,cached
31708403,IST IST,Architecture,Rock,Post-Punk,2024,2020,Repress,,Blue Translucent,UK,2025-06-16T17:55:35-07:00,covers/31708403.jpg,cached
30696994,J. Bernardt,Contigo,"Electronic, Rock, Pop","Indie Pop, Indie Rock",2024,2024,,,,Europe,2025-09-15T10:19:28-07:00,covers/30696994.jpg,cached
11048496,John Maus,Screen Memories,"Electronic, Rock, Pop","Synth-pop, New Wave, Hypnagogic pop",2017,2017,,,,USA & Europe,2025-12-16T11:44:46-08:00,covers/11048496.jpg,cached
9729049,Kellermensch,Goliath,Rock,Experimental,2017,2017,,,,Denmark,2026-04-30T12:55:15-07:00,covers/9729049.jpg,cached
910535,Klaxons,Myths Of The Near Future,Rock,Indie Rock,2007,2007,,,,UK,2026-06-12T01:17:03-07:00,covers/910535.jpg,cached
2421244,Klaxons,Surfing The Void,"Electronic, Rock","Electro, Indie Rock",2010,2010,,,White,UK,2026-06-12T01:18:59-07:00,covers/2421244.jpg,cached
7173395,LA Priest,Inji,"Electronic, Rock","Downtempo, Indie Rock, Synth-pop",2015,2015,,,,"UK, Europe & US",2026-06-15T08:30:50-07:00,covers/7173395.jpg,cached
15470324,LA Priest,Gene,"Electronic, Rock, Pop",Indie Pop,2020,2020,,,,Europe,2026-06-15T03:40:15-07:00,covers/15470324.jpg,cached
13558086,Lamb,The Secret Of Letting Go,Electronic,"Leftfield, Downtempo",2019,2019,,Limited,,UK,2025-09-08T10:49:05-07:00,covers/13558086.jpg,cached
19757443,Liars,The Apple Drop,Rock,"Experimental, Alternative Rock",2021,2021,,Limited,Recycled Coloured Vinyl,Europe,2025-12-22T19:03:42-08:00,covers/19757443.jpg,cached
3169606,M83,"Hurry Up, We're Dreaming.","Electronic, Rock","Indie Rock, Synth-pop",2011,2011,,,,USA & Canada,2025-12-16T09:52:21-08:00,covers/3169606.jpg,cached
10822831,Mammút,Kinder Versions ,Rock,"Alternative Rock, Indie Rock",2017,2017,,,,Europe,2025-10-26T12:55:57-07:00,covers/10822831.jpg,cached
22565492,Midlake,For The Sake Of Bethel Woods,"Rock, Pop, Folk, World, & Country",Folk Rock,2022,2022,,,,Europe,2025-11-11T03:59:30-08:00,covers/22565492.jpg,cached
1786820,Moderat,Moderat,Electronic,"IDM, Techno, Dubstep, Electro",2009,2009,,,,Germany,2026-03-18T15:45:22-07:00,covers/1786820.jpg,discogs-forced
4785201,Moderat,II,Electronic,"Downtempo, Techno, Leftfield, Ambient, Abstract, Experimental",2013,2013,,,,Germany,2026-04-02T11:03:32-07:00,covers/4785201.jpg,cached
8282220,Moderat,III,Electronic,"Techno, Electro, Dubstep, Downtempo, IDM",2016,2016,,,,Germany,2026-05-05T12:01:05-07:00,covers/8282220.jpg,cached
23143076,Moderat,More D4ta,Electronic,"Electro, IDM, Bass Music",2022,2022,,,,Germany,2025-02-10T15:24:22-08:00,covers/23143076.jpg,cached
368952,Mogwai,Happy Songs For Happy People,Rock,Post Rock,2003,2003,,,,UK,2026-04-14T12:13:32-07:00,covers/368952.jpg,cached
14876258,Morrissey,I Am Not A Dog On A Chain,"Rock, Pop, Folk, World, & Country",Indie Rock,2020,2020,,,Red Translucent,Europe,2026-06-08T11:59:32-07:00,covers/14876258.jpg,cached
20312302,Noel Gallagher's High Flying Birds,Chasing Yesterday,"Rock, Pop","Alternative Rock, Indie Rock",2015,2015,,,,Europe,2026-05-18T10:24:50-07:00,covers/20312302.jpg,cached
33892191,Oi Va Voi,The Water's Edge,"Electronic, Rock",Future Jazz,2025,2025,,Limited,Dark Green,Worldwide,2026-05-21T14:48:27-07:00,covers/33892191.jpg,cached
32453373,Opeth,The Last Will And Testament,Rock,"Progressive Metal, Death Metal, Prog Rock",2024,2024,,,Silver Opaque,Europe,2025-03-10T14:50:56-07:00,covers/32453373.jpg,cached
35355616,Other Lives,Volume V,Rock,"Alternative Rock, Folk Rock",2025,2025,,,,Europe,2026-04-02T11:11:58-07:00,covers/35355616.jpg,cached
35338078,Perturbator,Age Of Aquarius,Electronic,Synthwave,2025,2025,,Limited,Blue [Transparent],Europe,2026-04-22T07:23:11-07:00,covers/35338078.jpg,cached
16264394,Pg.lost,Oscillate,Rock,"Post Rock, Post-Metal",2020,2020,,,,Germany,2026-01-21T16:09:12-08:00,covers/16264394.jpg,cached
20446003,Pond,9,Rock,Psychedelic Rock,2021,2021,,,,,2026-01-21T16:15:33-08:00,covers/20446003.jpg,cached
4573178,Poni Hoax,A State Of War,"Electronic, Rock",Indie Rock,2013,2013,,,,France,2026-06-15T08:20:03-07:00,covers/4573178.jpg,cached
27236106,Protomartyr,Formal Growth In The Desert,Rock,Post-Punk,2023,2023,,,,Worldwide,2025-12-18T10:17:21-08:00,covers/27236106.jpg,cached
20338117,Public Service Broadcasting,Bright Magic,"Electronic, Rock","Indie Rock, Post Rock",2021,2021,,Limited,Orange/Black [Marbled],Europe,2026-04-24T20:09:16-07:00,covers/20338117.jpg,cached
